Mouse,Day,Avg_Rad_Eff
901,7,3.66E+08
902,7,4.39E+08
903,7,2.78E+08
904,7,4.64E+08
905,7,2.94E+08
901,14,2.84E+08
902,14,3.81E+08
903,14,2.68E+08
904,14,5.55E+08
905,14,2.26E+08
901,21,5.17E+08
902,21,4.65E+08
903,21,4.78E+08
904,21,4.96E+08
905,21,4.36E+08
901,28,7.50E+08
902,28,5.57E+08
903,28,5.15E+08
904,28,6.26E+08
905,28,4.00E+08
901,35,7.37E+08
902,35,8.71E+08
903,35,6.26E+08
904,35,5.94E+08
905,35,1.06E+09
901,42,1.55E+09
902,42,1.51E+09
903,42,7.49E+08
904,42,1.09E+09
905,42,1.82E+09
901,49,2.11E+09
902,49,1.58E+09
903,49,1.26E+09
904,49,1.56E+09
905,49,2.32E+09
901,56,2.70E+09
902,56,1.29E+09
903,56,2.23E+09
905,56,2.68E+09
